S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
303,ULHC,-,400,408.8,395,398,402.66,"20,612.00",402.9,"8,299,658.80",216,-4.9,13.8,-1.22,3.49,-1.17,387.46,367.16,487,217.1
304,UMHL,-,329,349.9,322.7,326,326.71,"92,284.00",325.9,"30,150,137.40",374,0.1,27.2,0.03,8.43,-0.22,277.78,273.3,386,168
305,UMRH,-,492.7,502,477,481.2,495.07,"43,720.00",483.1,"21,644,493.10",204,-1.9,25,-0.39,5.24,-2.88,428.14,410.82,628,261.3
306,UNHPL,-,287,288,274.5,280,281.09,"38,684.00",284.5,"10,873,713.20",180,-4.5,13.5,-1.58,4.92,-0.39,256.27,251.49,346,156
307,UNL,-,"49,499.90","49,499.90","48,850.00","48,850.00","49,087.34",110,"49,250.00","5,399,607.00",10,-400,649.9,-0.81,1.33,-0.49,"46,315.67","44,203.49","56,805.80","35,501.00"
308,UNLB,-,"2,515.00","2,535.00","2,490.10","2,526.90","2,506.97","4,574.00","2,515.00","11,466,890.50",83,11.9,44.9,0.47,1.8,0.79,"2,169.74","1,883.45","3,050.00",922
309,UPCL,-,285.6,285.6,276.8,277,280.55,"72,704.00",280,"20,397,107.20",353,-3,8.8,-1.07,3.18,-1.28,231.64,227.84,345,168
310,UPPER,-,229,231.9,226,227,228.66,"242,241.00",227.5,"55,391,721.30","1,088",-0.5,5.9,-0.22,2.61,-0.73,191.96,194.98,295,152.1
311,USHEC,-,510,527,500,517.1,518.02,"37,601.00",500,"19,478,256.80",331,17.1,27,3.42,5.4,-0.18,465.74,431.86,661.6,216.2
312,USHL,-,847.7,860,780,820,812.36,"59,605.00",864.9,"48,420,919.50",379,-44.9,80,-5.19,10.26,0.93,603.29,567.99,961,285.6
313,USLB,-,"1,497.00","1,527.00","1,474.30","1,506.90","1,497.79","1,652.00","1,499.00","2,474,356.80",47,7.9,52.7,0.53,3.57,0.6,"1,775.49","1,584.89","2,363.30",591.1
314,VLBS,-,917.3,919,890,919,910.47,"9,261.00",936,"8,431,881.50",109,-17,29,-1.82,3.26,0.93,940.37,843.01,"1,174.00",546.1
315,VLUCL,-,610,634,610,615,622.21,"24,607.00",608,"15,310,700.90",296,7,24,1.15,3.93,-1.17,566.4,553.76,816,365.3
316,WNLB,-,"2,675.40","2,838.00","2,675.00","2,682.00","2,715.81","3,234.00","2,730.00","8,782,941.40",92,-48,163,-1.76,6.09,-1.26,"1,732.72","1,473.10","3,500.00",680
